id,name,price,created_at,updated_at
22,"ASUS BR1100C 11.6"" HD Rugged Student Laptop, Intel Celeron N4500, 4GB RAM, 128GB eMMC, MIL-STD Durability, Spill-Resistant KB, Type-C, HDMI, RJ45, Wi-Fi 6, Webcam, SPS Wireless Mouse, Windows 10 Pro",154,2023-03-24 02:39:11.235263,2023-03-24 02:39:11.235263
23,"HP 2022 Newest X360 Chromebook Spin 2-in-1 Laptop Student Business, 14'' HD Touchscreen, Dual Core Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC,Camera, Wi-Fi, Chrome OS+MarxsolCables Forest Teal",299,2023-03-24 02:39:11.264086,2023-03-24 02:39:11.264086
24,"HP 2022 Newest X360 Chromebook Spin 2-in-1 Laptop Student Business, 14'' HD Touchscreen, Dual Core Intel Celeron N4120 Processor, 4GB RAM, 64GB eMMC,Camera, Wi-Fi, Chrome OS+MarxsolCables Forest Teal",299,2023-03-24 02:39:15.296756,2023-03-24 02:39:15.296756
25,"Acer Chromebook Enterprise Spin 514 Convertible Laptop | Intel Core i3-1110G4 | 14"" FHD IPS Touch Gorilla Glass | 8GB LPDDR4X | 128GB SSD | Wi-Fi 6 | Backlit Keyboard | Chrome OS | CP514-2H-39R7",828,2023-03-24 02:39:15.318923,2023-03-24 02:39:15.318923
26,"Acer 2022 Newest Chromebook 17.3"" FHD 1080p Widescreen Light Laptop, Intel Celeron N4500 (Up to 2.8GHz), 4GB RAM, 64GB eMMC,HD Webcam,UHD Graphics, WiFi 6, 10+ Hours Battery,Chrome OS,w/MarxsolCables",339,2023-03-24 02:39:15.344351,2023-03-24 02:39:15.344351
27,"Acer Nitro 5 AN515-57-79TD Gaming Laptop | Intel Core i7-11800H | NVIDIA GeForce RTX 3050 Ti Laptop GPU | 15.6"" FHD 144Hz IPS Display | 8GB DDR4 | 512GB NVMe SSD | Killer Wi-Fi 6 | Backlit Keyboard",739,2023-03-24 02:39:15.376499,2023-03-24 02:39:15.376499
28,"2021 Newest Acer X360 Chromebook Spin 2-in-1 Convertible Laptop Student Business, MediaTek MT8183C 8-Core Processor,11.6"" HD Touch IPS, 4GB RAM, 32GB eMMC,Wi-Fi 5,Bluetooth 5,Chrome OS+ Marxsol Cables",239,2023-03-24 02:39:15.402487,2023-03-24 02:39:15.402487
29,"Acer Chromebook 714 CB714-1Wt-534T 14"" Touchscreen Chromebook - 1920 X 1080 - Core i5 i5-8250U - 8 GB RAM - 64 GB Flash Memory - Chrome OS - Intel UHD Graphics 620 - in-Plane Switching (IPS) Tech",0,2023-03-24 02:39:15.424775,2023-03-24 02:39:15.424775
30,"Acer Chromebook Spin 713: Intel Core i3-10110U, 4GB DDR4, 64GB eMMC, 13.5"" 2K VertiView Touchscreen, Backlit Keyboard, Google Chrome OS",0,2023-03-24 02:39:15.450782,2023-03-24 02:39:15.450782
31,"Acer Chromebook 314, Intel Celeron N4000, 14"" Full HD Display, 4GB LPDDR4, 64GB eMMC, Gigabit WiFi, Google Chrome, CB314-1H-C884",196,2023-03-24 02:39:15.470997,2023-03-24 02:39:15.470997
32,"Acer Flagship Chromebook 12"" HD+ Display Laptop for Student, Intel Celeron N4020 Up to 2.8GHz, 4GB LPDDR4, 32GB eMMC, Webcam, WiFi 5, Zoom Meeting, Chrome OS w/ Accessories",169,2023-03-24 02:39:15.508718,2023-03-24 02:39:15.508718
33,"Acer Chromebook Enterprise Spin 514 Convertible Laptop | Intel Core i3-1110G4 | 14"" FHD IPS Touch Gorilla Glass | 8GB LPDDR4X | 128GB SSD | Wi-Fi 6 | Backlit Keyboard | Chrome OS | CP514-2H-39R7",828,2023-03-24 02:39:15.547852,2023-03-24 02:39:15.547852
34,"Acer Aspire Vero AV15-51-7617 Green PC | 15.6"" FHD IPS 100% sRGB-Display | 11th Gen Intel Core i7-1195G7 | Intel Iris Xe Graphics | 16GB DDR4 | 512GB NVMe SSD | Wi-Fi 6 | PCR Materials | Vero-Sleeve",509,2023-03-24 02:39:15.575361,2023-03-24 02:39:15.575361
35,"ASUS BR1100C 11.6"" HD Rugged Student Laptop, Intel Celeron N4500, 4GB RAM, 128GB eMMC, MIL-STD Durability, Spill-Resistant KB, Type-C, HDMI, RJ45, Wi-Fi 6, Webcam, SPS Wireless Mouse, Windows 10 Pro",154,2023-03-24 02:39:15.602576,2023-03-24 02:39:15.602576
36,"Acer Aspire 5 A515-56-36UT, 15.6"" Full HD Display, 11th Gen Intel Core i3-1115G4 Processor, 4GB DDR4, 128GB NVMe SSD, WiFi 6, Windows 11 Home (S Mode)",292,2023-03-24 02:39:15.626529,2023-03-24 02:39:15.626529
37,"Acer Chromebook Spin 511 R753T R753T-C1PT 11.6"" Touchscreen Convertible 2 in 1 Chromebook - HD - 1366 x 768 - Intel Celeron N5100 Quad-core (4 Core) 1.10 GHz - 8 GB RAM - 64 GB Flash Memory",479,2023-03-24 02:39:15.647423,2023-03-24 02:39:15.647423
38,"Acer Chromebook Enterprise 515 Laptop | Intel Core i3-1115G4 | 15.6"" Full HD IPS Touch Display | 8GB LPDDR4X | 128GB NVMe SSD | microSD | Intel Wi-Fi 6 | Backlit Keyboard | Chrome OS | CB515-1WT-32RB",749,2023-03-24 02:39:15.672312,2023-03-24 02:39:15.672312
39,"Acer Swift 3 OLED Intel Evo Thin & Light Laptop | 14"" OLED 2880x1800 | Intel Core i7-12700H | Intel Iris Xe Graphics | 16GB LPDDR5 | 1TB SSD | Killer Wi-Fi 6E AX1675 | Windows 11 Home | SF314-71-75MW",1,2023-03-24 02:39:15.694819,2023-03-24 02:39:15.694819
40,"Acer 2023 Cloud Gaming Chromebook 516 GE 16"" WQXGA 2560 x 1600 120Hz Laptop, 12th Gen Intel 12-Core i5-1240P up to 4.4GHz, 8GB LPDDR4X RAM, 256GB PCIe SSD, WiFi 6, BT 5.2, RGB Backlit KB, Chrome OS",649,2023-03-24 02:39:15.718822,2023-03-24 02:39:15.718822
